,"Current status (as of 4/04/2024):   under Construction (with RVA23 & RVB23 updates)  
// note: only insert new columns after column H (Bill McSpadden programatically imports A-H into other tools)",,,,,,,,,,,,,,,,,,,,,,,"Ecosystem status - tbd, dev, year merged upstreamed/updated, n/a",,,,,,,,
,,,,,,,,ratified (or expected),,,MAJOR,,Minor,,Minor,,,,,,MAJOR?,,,,,,,,,,,
extension/base name - best guess,ratification package name,"description (what this does, in English)",IC,extensions included (subsets),"implies 
(and transitives)",incompatible (and transitive),ratified (y/n),year,date or month or quarter,RVI20,"RVA20 
(64 only)",,"RVA22 
(64 only)",,RVI23,RVA23 (64 only),,RVB23 (64 only),,"consistency check that if U is M/O,S is M/O for all years","[draft]
RVA30
(64 only)",,,ACT,SAIL,QEMU,SPIKE,GCC,GCC optimized,LLVM,LLVM optimized,binutils
,,,,,(required prerequisite),,,,,"m - mandatory, 
i - ""m"", if the ""implies"" column is implemented,
o - optional, 
n - non-profile options, 
p - part of an optional extension but not an optional extension itself",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,RV32I is only applicable to RVI20 profile,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Mode,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,U,S,U,S,U,U,S,U,S,,U,S,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,original,Atomic Instructions,unpriv,"Zaamo, Zalrsc",,,y,2019,,o,m,m,m,m,o,m,m,m,m,,,,,n,y,y,y,GCC 12,,y,,y
B,B,Basic Bit Manipulation ,unpriv,"Zba, Zbb, Zbs",,,y,2024,25 Apr,n,n,n,m,m,o,m,m,m,m,,,,,,y,,,,,,,
C,original,Compressed instructions,priv,,,,y,2019,,o,m,m,m,m,o,m,m,m,m,,,,,y,y,y,y,GCC 12,,y,,y
D,original,"floating point, double-precision (implies F)",unpriv,,F,Zdinx,y,2019,,o,m,m,m,m,o,m,m,m,m,,,,,y,y,y,y,GCC 12,,y,,y
F,original,"floating point, single-precision",unpriv,,Zicsr,Zfinx,y,2019,,o,m,m,m,m,o,m,m,m,m,,,,,y,y,y,y,GCC 12,,y,,y
H,H,hypervisor,unpriv,,S,,y,2021,,n,n,n,n,o,n,n,m,n,o,,,,,n,n,y,y,n/a,,n/a,,y
M,original,multiply/divide,priv, ,,,y,2019,,o,m,m,m,m,o,m,m,m,m,,,,,y,y,y,y,GCC 12,,y,,y
N,N,user level interrupts,unpriv,,,,n,future,,n,n,n,n,n,n,n,n,n,n,,,,,n,n,n,n,n,,n,,n
Q,original,"floating point, quad-precision",priv,,,,y,2019,,n,n,n,n,n,n,n,n,n,n,,,,,n,n,n,y,GCC 12,,n,,y
P,,Packed SIMD (in 64-bit registers),unpriv,,,,n,,,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
RERI,RERI,RAS Error Record Interface (non-ISA),priv,,,,y,2024,May,n,n,n,n,n,n,n,n,n,n,,,,,,,,,,,,,
RV32E,RVE,integer base for RVE32,unpriv,,,,y,2023,,n,n,n,n,n,n,n,n,n,n,,,,,y,y,,tbd,y,,,,n
RV32I,original,integer base for RVI32,unpriv,,,,y,2019,,m,n,n,n,n,m,n,n,n,n,,,,,n,y,y,y,GCC 7,,y,,y
RV64E,RVE,integer base for RVE64,unpriv,,,,y,2023,,n,n,n,n,n,n,n,n,n,n,,,,,y,y,,tbd,,,,,n
RV64I,original,Supervisor Mode,priv,,,,y,?,,n,m,m,m,m,o,m,m,m,m,,,,,n,y,y,y,GCC 7,,y,,y
S,,"Handling of trap inside trap hanlder (""double"" trap)  [see also Smdbltrp and Ssdbltrp]",priv,,U,,n,(2024),,n,n,m,n,m,?,n,m,n,m,,,,,,,,,,,,,
Sddbltrp,Double Trap,"Handling of trap inside trap hanlder (""double"" trap)  [see also Smdbltrp and Ssdbltrp]",priv,,,,n,(2024),,n,n,n,n,n,n,n,?,n,?,,,,,,,,,,,,,
Sdext,,External Debug Architecture,,,,,?,20__,,n,n,n,o,o,o,o,o,o,o,,,,,n,n,,,,,,,
Sdtrig,,Hardware triggers (watchpoints),,,,,?,20__,,n,n,n,o,o,o,o,o,o,o,,,,,n,dev,,,,,,,
Shcounterenw,H,"only if H: For any hpmcounter that is not read-only zero, the corresponding bit in hcounteren must be writable",unpriv,,H,,y,2021,,n,n,n,n,i,n,n,i,n,i,,,,,n,n,,,,,,,
Shgatpa,H,"only if H:  For each supported virtual memory scheme SvNN supported in satp, the corresponding hgatp SvNNx4 mode must be supported. The hgatp mode Bare must also be supported.",priv,,H,,y,2021,,n,n,n,n,i,n,n,i,n,i,,,,,n,n,,,,,,,
Shtvala,H,only if H: htval must be written with the faulting guest physical address in all circumstances permitted by the ISA.,priv,,H,,y,2021,,n,n,n,n,i,n,n,i,n,i,,,,,n,n,,,,,,,
Shvsatpa,H,only if H: All translation modes supported in satp must be supported in vsatp.,priv,,H,,y,2021,,n,n,n,n,i,n,n,i,n,i,,,,,n,n,,,,,,,
Shvstvala,H,only if H: vstval must be written in all cases described above for stval.,priv,,H,,y,2021,,n,n,n,n,i,n,n,i,n,i,,,,,n,n,,,,,,,
Shvstvecd,H,"only if H:  vstvec.MODE must be capable of holding the value 0 (Direct). When vstvec.MODE=Direct, vstvec.BASE must be capable of holding any valid four-byte-aligned address.",priv,,H,,y,2021,,n,n,n,n,i,n,n,i,n,i,,,,,n,n,,,,,,,
Sm1p11,priv 1.11,m mode priv instructions and state,priv,,H,,y,2019,,n,n,n,n,n,n,n,n,n,n,,,,,n,y,y,y,n/a,,,,y
Sm1p12,priv 1.12,m mode priv instructions and state,priv,,,,y,2021,,n,n,n,n,n,n,n,n,n,n,,,,,n,n,y,,,,,,y
Sm1p13,priv 1.13,m mode priv instructions and state,priv,,,,y,2021,,n,n,n,n,n,n,n,m,n,m,,,,,n,n,,,,,,,
Smaia,AIA,Advanced Interrupt Architecture,priv,,,,n,2022,,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
Smclic,Fast Interrupts,fast interrupt spec,priv,,,,n,(2023),,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,n,n/a,,,,
Smcdeleg,,Supervisor counter delegation,priv,,,,y,2024,Mar 28,n,n,n,n,n,n,n,n,,,,,,,,n,,,,,,,
Smcntrpmf,,Counter filtering by Mode,priv,,,,n,,,n,n,n,n,n,n,n,n,,,,,,,,n,,,,,,,
Smcsrind,,Indirect CSR Access (M-mode),priv,,,,y,2024,Feb,n,n,n,n,n,n,n,n,,,,,,,,n,,,,,,,
Smdbltrp,Double Trap,"Handling of trap inside trap hanlder (""double"" trap)  [see also Sddbltrp and Ssdbltrp]",priv,,,,n,(2024),,n,n,n,n,n,n,n,?,n,?,,,,,,,,,,,,,
Smepmp,Enhanced PMP,trusted address map TEE extension,priv,,,,y,2021,,n,n,n,n,n,n,n,n,n,n,,,,,dev,dev,Y,y,dev,,,,y
Smmpm,Zpm,"pointer masking
(formerly named ""Smmjpm"", and before that part of ""Zjpm"")",priv,,,,n,2024,,n,n,n,n,n,n,n,n,n,n,,m,m,,n,n,,,,,,,
Smrntt,Smrntt,"Supervisor Domains Access Protection, 
a.k.a. Memory Tracking Table, a.k.a.""TMP""",priv,,,,n,(2024),,n,n,n,n,n,n,,,,,,,,,n,n,,,,,,,
Smnpm,Zpm,"pointer masking
(formerly named ""Smnjpm"", and before that part of ""Zjpm"")",priv,,,,n,2024,,n,n,n,n,n,o,m,m,o,o,,m,m,,n,dev,,,,,,,
Smpmpmt,,"PMP-base memory types (for cores w/o MMU) (cacheable, uncacheable, etc.)",priv,,Ss1p12,,n,,,n,n,n,n,n,n,n,n,n,n,,?,?,,n,n,y,y,,,,,
Smrnmi,Smrnmi,resumable non-maskable interrupts,priv,,,,y,2024,June,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
Smstateen,State Enable,Enable/disable state access by lower privielege modes (for security reasons),priv,,,,y,2021,,n,n,n,n,o,n,n,o,n,o,,,,,n,n,dev,y,,,,,dev
Smctr,CTR,"Records recent control flow history, for performance profiling uses",priv,,,,n,2024,Oct,n,n,n,n,n,n,n,n,,n,,,,,y,y,,,,,,,
Ss1p11,priv 1.11,s mode priv instructions and state,priv,,S-mode,,y,2019,,n,n,m,n,n,n,n,n,n,n,,,,,n,y,y,y,,,,,y
Ss1p12,priv 1.12,s mode priv instructions and state replaces priv 1.11 in rva22,priv,,S-mode,,y,2021,,n,n,n,n,m,n,n,m,n,m,,,,,n,n,y,,,,,,y
Ss1p13,priv 1.13,S mode priv instructions and state; replaces priv 1.12 in RVA23,priv,,S-mode,,n,2024,,n,n,n,n,n,n,n,m,n,m,,,,,,n,,,,,,,
Ssaia,AIA,Supervisor-mode view of the Advanced Interrupt Architecture,priv,,,,n,2022,,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
Ssccfg,,"Sscntrcfg and Sshpmcfg were merged into Ssccfg.
Ssccfg is the supervisor portion of Smcdeleg.",priv,,,,y,2024,Mar 28,n,n,n,n,n,n,n,n,,,,,,,,n,,,,,,,
Ssccptr,profiles,Main memory regions with both the cacheability and coherence PMAs must support hardware page-table reads.,priv,,,,n,2023,,n,n,m,n,m,n,n,m,n,m,,,,,n,n,,,,,,,
Sscntrcfg,,"per ARC, June 2023: merged into Ssccfg ",priv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sscofpmf,Count overlow & Filtering,hpm counter overflow & privilege mode filtering,priv,,,,y,2021,,n,n,n,n,o,n,n,m,n,m,,,,,n,n,dev,dev,,,,,dev
Sscounterenw,profiles,"For any hpmcounter that is not read-only zero, the corresponding bit in scounteren must be writable.",priv,,,,n,2023,,n,n,m,n,o,n,n,m,n,m,,,,,n,n,,,,,,,
Sscsrind,,Indirect CSR Access (S/VS-mode),priv,,,,y,2024,,n,n,n,n,n,n,n,n,,,,,,,,n,,,,,,,
Ssctr,CTR,Supervisor portion of Smctr,priv,,,,n,2024,Oct,n,n,n,n,n,n,n,n,n,n,,,,,y,y,,,,,,,
Ssdbltrp,Double Trap,"Handling of trap inside trap hanlder (""double"" trap)  [see also Sddbltrp and Smdbltrp]",priv,,,,n,(2024),,n,n,n,n,n,n,n,?,n,?,,,,,,,,,,,,,
Ssdtso,Ssdtso,dynamic total store ordering (see also Ztso),unpriv,,,Ztso,n,,,n,n,n,n,n,o,?,?,?,?,,,,,y,y,,,,,,,
Sshpmcfg,,"per ARC, June 2023: merged into Ssccfg ",priv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ssnpm,Zpm,"pointer masking
(formerly named ""Ssnjpm"", and before that part of ""Zjpm"")",priv,,,,n,2024,,n,n,n,n,n,n,n,o,n,o,,n,m,,n,n,,,,,,,
Ssptead,,(renamed Svade),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sspm,,Pointer masking in S-mode code,priv,,Smnpm?,,n,2024,,n,n,n,n,n,n,n,o,n,o,,n,?,,,,,,,,,,
Ssqosid,,Supervisor Quality of Service ID,priv,,Ss1p14,,y,2024,June,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
Ssstateeen,State Enable,Supervisor-mode view of the state-enable extension,priv,,H,,y,2021,,n,n,n,n,i,n,n,i,n,i,,,,,n,n,,,,,,,
Ssstrict,,_____________,priv,,,,n,2024,,n,n,n,n,n,n,n,o,n,o,,,,,,,,,,,,,
Sstc,time cmp,stimecmp/vstimecmp - s-mode timers so don't need M-mode sbi call,priv,,,,y,2021,,n,n,n,n,o,n,n,m,n,m,,,,,n,n,dev,,,,,,dev
Sstvala,profiles,"stval must be written with the faulting virtual address for load, store, and instruction page-fault, access-fault, and misaligned exceptions, and for breakpoint exceptions other than those caused by execution of the ebreak or c.ebreak instructions. For illegal-instruction exceptions, stval must be written with the faulting instruction.",priv,,,,n,2023,,n,n,m,n,m,n,n,m,n,m,,,,,dev,n,,,,,,,
Sstvecd,profiles,"stvec.MODE must be capable of holding the value 0 (Direct). When stvec.MODE=Direct, stvec.BASE must be capable of holding any valid four-byte-aligned address.",priv,,,,n,2023,,n,n,m,n,m,n,n,m,n,m,,,,,n,n,,,,,,,
Sstvecv,profiles,stvec.MODE=Vectored Hardware Trap Vectoring.,priv,,,,n,2023,,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
Ssu32xl,profiles,sstatus.UXL=32,priv,,,,n,2023,,n,n,o,n,n,n,n,n,n,n,,,,,y,y,,,,,,,
Ssu64xl,profiles,sstatus.UXL=64,priv,,,,n,2023,,n,n,o,n,o,n,n,m,n,m,,,,,y,y,,,,,,,
Ssube,priv 1.11,sstatus.ube=1 Big-endian user-space.,priv,,,,y,2021,,n,n,n,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
Supm,Zpm,Pointer masking in U-mode code,unpriv,,Ssnpm?,,n,2024,,n,n,n,n,n,n,n,o,n,o,,n,?,,,,,,,,,,
Sv32,,Page-Based 32-bit Virtual-Memory System.,priv,,,,y,2019?,,n,n,,n,,,n,,n,,,,,,,y,,,,,,,
Sv39,priv 1.11,Page-Based 39-bit Virtual-Memory System.,priv,,S-mode,,y,2019,,n,n,m,n,m,n,n,m,n,m,,,,,dev,y,y,y,n/a,,,,dev
Sv48,priv 1.11,page based 48 bit VM,priv,,S-mode,,y,2019,,n,n,o,n,o,n,n,o,n,o,,,,,dev,y,y,y,n/a,,,,y
Sv57,priv 1.12,page based 57 bit VM,priv,,S-mode,,y,2021,,n,n,n,n,o,n,n,o,n,o,,,,,n,n,y,,,,,,y
Svade,profiles,"Page-fault exceptions are raised when a page is accessed when A bit is clear, or written when D bit is clear (renamed from Ssptead)",priv,,H,,n,2023,,n,n,?,n,?,n,n,m,n,m,,,,,n,y,,,,,,,
Svadu,Svadu,a/d bits update,priv,,,,n,2022,,n,n,n,n,o,n,n,o,n,o,,,,,n,y,,,,,,,
Svbare,profiles,direct map not VM translation,priv,,,,n,2023,,n,n,m,n,m,n,n,m,n,m,,,,,n,y,,,,,,,
Svinval,priv 1.12,fast multi-sfence.vma's,priv,,Ss1p12,,y,2021,,n,n,n,n,m,n,n,m,n,m,,,,,n,dev,y,y,,,,,y
Svnapot,priv 1.12,napot translation contiguity,priv,,Ss1p12,,y,2021,,n,n,n,n,o,n,n,m,n,m,,,,,n,dev,y,y,,,,,
Svpbmt,priv 1.12,"page-based memory types (e.g. cacheable, uncacheable, etc.)",unpriv,,Ss1p12,,y,2021,,n,n,n,n,m,n,n,m,n,m,,,,,n,n,y,y,,,,,
Svukte,,Address-Independent Latency of User-Mode Faults to Supervisor Addresses,priv,,,,n,,,n,n,n,n,n,n,n,n,n,n,,,?,,,,,,,,,,
Svvptc,,SFENCE.VMA not needed in certain trap handlers (for performance).  One possible implementation is to never cache invalid PTEs. Behavioral-only extension (defines no instructions or CSRs).,priv,,,,y,2024,June,n,n,n,n,n,n,n,?,,?,,,?,,,,,,,,,,
U,,vector,unpriv,,,,y,,,n,n,n,m,?,?,m,?,m,?,X,m,?,,,,,,,,,,
V,V,,unpriv,,Zicsr?,,y,2021,,n,n,n,o,o,o,m,m,o,o,,m,m,,n,y,,,,,,,
Za128rs,profiles,"Reservation sets must be contiguous, naturally aligned, and at most 128 bytes in size.",unpriv,,,,n,2023,,n,m,m,n,n,n,n,n,n,n,,,,,n,n,,,,,,,
Za64rs,profiles,"Reservation sets must be contiguous, naturally aligned, and at most 64 bytes in size.",unpriv,,,,n,2023,,n,n,n,m,m,o,m,m,m,m,,,,,n,n,,,,,,,
Zaamo,A,AMOs,unpriv,,,,y,2024,25 Apr,p,p,p,p,p,o,p,p,p,p,,,,,n,y,,,,,,,
Zabha,,Bye & Halfword atomics ,unpriv,,,,y,2024,25 Apr,n,n,n,n,n,,o,o,o,o,,,,,,y,,,,,,,
Zacas,,Atomic CAS (Compare-And-Swap),unpriv,,,,n,2023,,n,n,n,n,n,o,o,o,o,o,,m,m,,,dev,,,,,,,
Zalrsc,A,LR/Store Conditional atomics,unpriv,,,,y,2024,25 Apr,p,p,p,p,p,o,p,p,p,p,,,,,n,y,,,,,,,
Zama16b,,"Misaligned loads, stores, and AMOs to main memory regions that do not cross a naturally aligned 16-byte boundary are atomic.",unpriv,,,,y,?,,n,n,n,n,n,o,m,m,m,m,,,,,,n,,,,,,,
Zawrs,Zawrs,wait on reservation set,unpriv,,Zalrsc,,y,2022,,n,n,n,n,n,?,o,o,o,o,,,,,n,dev,,,GCC 13,,,,
Zba,bitmanip Zb[abcs],address generation,unpriv,,,,y,2021,,n,n,n,m,m,o,m,m,m,m,,,,,y,y,y,y,GCC 12,,y,,y
